document_id,file_name,label
77,clean_text3/ALXN_DEF 14A_20190326_0000899866-19-000054.txt,ALXN
78,clean_text3/AL_DEF 14A_20190508_0001193125-19-082872.txt,AL
79,clean_text3/AMAT_DEF 14A_20190307_0001193125-19-015977.txt,AMAT
80,clean_text3/AMD_DEF 14A_20190515_0001193125-19-082205.txt,AMD
81,clean_text3/AME_DEF 14A_20190509_0001564590-19-007402.txt,AME
82,clean_text3/AMH_DEF 14A_20190509_0001193125-19-090707.txt,AMH
83,clean_text3/AMNL_DEF 14A_20181206_0001437749-18-018584.txt,AMNL
84,clean_text3/AMN_DEF 14A_20190417_0001564590-19-006805.txt,AMN
85,clean_text3/AMPE_DEF 14A_20181215_0001144204-18-056277.txt,AMPE
86,clean_text3/AMP_DEF 14A_20190424_0001047469-19-001313.txt,AMP
87,clean_text3/AMRX_DEF 14A_20190506_0001308179-19-000058.txt,AMRX
88,clean_text3/AMTD_DEF 14A_20190213_0001193125-18-361630.txt,AMTD
89,clean_text3/AMTX_DEF 14A_20190425_0001654954-19-002759.txt,AMTX
90,clean_text3/AMTY_DEF 14A_20181128_0001185185-18-001854.txt,AMTY
91,clean_text3/ANDE_DEF 14A_20190510_0000821026-19-000036.txt,ANDE
92,clean_text3/ANH_DEF 14A_20190522_0001558370-19-002146.txt,ANH
93,clean_text3/ANTM_DEF 14A_20190515_0001558370-19-002641.txt,ANTM
94,clean_text3/ANY_DEF 14A_20171231_0001591956-18-000052.txt,ANY
95,clean_text3/AN_DEF 14A_20190418_0000350698-19-000060.txt,AN
96,clean_text3/AOSL_DEF 14A_20181109_0001387467-18-000053.txt,AOSL
97,clean_text3/APC_DEF 14A_20190514_0001193125-19-091497.txt,APC
98,clean_text3/APD_DEF 14A_20190124_0001206774-18-003394.txt,APD
99,clean_text3/APEI_DEF 14A_20190510_0001140361-19-005813.txt,APEI
100,clean_text3/APTS_DEF 14A_20181231_0001481832-19-000015.txt,APTS
101,clean_text3/APTV_DEF 14A_20190425_0001193125-19-070796.txt,APTV
102,clean_text3/APY_DEF 14A_20190509_0001723089-19-000050.txt,APY
103,clean_text3/AP_DEF 14A_20190509_0001564590-19-010023.txt,AP
104,clean_text3/AQB_DEF 14A_20190430_0001603978-19-000037.txt,AQB
105,clean_text3/AQMS_DEF 14A_20190304_0001493152-19-002814.txt,AQMS
106,clean_text3/AQUA_DEF 14A_20190214_0001193125-19-003823.txt,AQUA
107,clean_text3/ARAY_DEF 14A_20181116_0001193125-18-293274.txt,ARAY
108,clean_text3/ARCB_DEF 14A_20190430_0001104659-19-013620.txt,ARCB
109,clean_text3/ARCH_DEF 14A_20190502_0001047469-19-001348.txt,ARCH
110,clean_text3/ARCWD_DEF 14A_20181204_0001558370-18-007990.txt,ARCWD
111,clean_text3/ARCW_DEF 14A_20181204_0001558370-18-007990.txt,ARCW
112,clean_text3/ARC_DEF 14A_20190328_0001305168-19-000030.txt,ARC
113,clean_text3/ARKR_DEF 14A_20190319_0000930413-19-000349.txt,ARKR
